Variable,Mean,Median,SD,Min,Max,shapirowilks
quality,3.818377712790524,4,0.8732552715311119,1,7,8.044561788347591e-52
fixed.acidity,7.215307064799149,7,1.2964337577997858,3.8,15.9,2.602957168994369e-52
volatile.acidity,0.3396659996921657,0.29,0.16463647408467624,0.08,1.58,3.968403928690261e-53
citric.acid,0.3186332153301524,0.31,0.14531786489758997,0,1.66,3.05765606197343e-34
residual.sugar,5.443235339387406,3,4.757803743147413,0.6,65.8,5.177777737654444e-58
chlorides,0.056033861782360986,0.047,0.03503360137245929,0.009,0.611,5.5534228587793415e-74
free.sulfur.dioxide,30.52531937817451,29,17.749399772002572,1,289,1.310842681688995e-34
total.sulfur.dioxide,115.74457441896395,118,56.52185452263016,6,440,2.512390879499332e-25
density,0.9946966338309989,0.99489,0.0029986730037190406,0.98711,1.03898,6.337557544007362e-34
pH,3.218500846544559,3.21,0.16078720210398795,2.72,4.01,5.560995655249407e-16
sulphates,0.5312682776666152,0.51,0.1488058736144888,0.22,2,1.2969700184517546e-49
alcohol,10.491800831152839,10.3,1.1927117488710026,8,14.9,1.2127469262036657e-37
